Equipment Type	Equipment Class	Product	ProductLifeCycle	Prefix	rowNo	subTotalGroup	HighPriority	coreProduct
Infusion	LVP	Sapphire Plus	Grow	SAS	1	Infusion Sub Total	Yes	1
Infusion	LVP	Sigma V8	Grow	JQB	2	Infusion Sub Total	Yes	1
Infusion	LVP	Medley LVP	Mature	EEU	3	Infusion Sub Total	Yes	1
Infusion	LVP	Medley LVP	Mature	EEX	4	Infusion Sub Total	Yes	1
Infusion	LVP	Medley LVP	Mature	EFC	5	Infusion Sub Total	Yes	1
Infusion	LVP	Medley LVP	Mature	EFG	6	Infusion Sub Total	Yes	1
Infusion	LVP	Medley LVP	Mature	FFL	7	Infusion Sub Total	Yes	1
Infusion	LVP	Medley LVP	Mature	IAP	8	Infusion Sub Total	Yes	1
Infusion	LVP	Medley LVP	Mature	MOD	9	Infusion Sub Total	Yes	1
Infusion	LVP	Medley LVP	Mature	MOE	10	Infusion Sub Total	Yes	1
Infusion	LVP	Medley LVP	Mature	ZMT	11	Infusion Sub Total	Yes	1
Infusion	LVP	Medley LVP	Mature	MOF	12	Infusion Sub Total	Yes	1
Infusion	LVP	Medley LVP	Mature	MOG	13	Infusion Sub Total	Yes	1
Infusion	LVP	Medley PCU	Mature	BRN	14	Infusion Sub Total	Yes	1
Infusion	LVP	Medley PCU	Mature	EFO	15	Infusion Sub Total	Yes	1
Infusion	LVP	Medley PCU	Mature	EFZ	16	Infusion Sub Total	Yes	1
Infusion	LVP	Medley PCU	Mature	EGE	17	Infusion Sub Total	Yes	1
Infusion	LVP	Medley PCU	Mature	FFC	18	Infusion Sub Total	Yes	1
Infusion	LVP	Medley PCU	Mature	FFP	19	Infusion Sub Total	Yes	1
Infusion	LVP	Medley PCU	Mature	IAR	20	Infusion Sub Total	Yes	1
Infusion	LVP	Medley PCU	Mature	ZMS	21	Infusion Sub Total	Yes	1
Infusion	LVP	Medley PCU	Mature	EGF	22	Infusion Sub Total	Yes	1
Infusion	LVP	Medley PCU	Mature	EGI	23	Infusion Sub Total	Yes	1
Infusion	LVP	Medley PCU	Mature	EGH	24	Infusion Sub Total	Yes	1
Infusion	LVP	Plum 360	Grow	EWA	25	Infusion Sub Total	No	1
Infusion	LVP	Sigma V6	Mature	JKF	26	Infusion Sub Total	Yes	1
Infusion	LVP	Sigma V6	Mature	JKI	27	Infusion Sub Total	Yes	1
Infusion	LVP	Sigma V6	Mature	JKJ	28	Infusion Sub Total	Yes	1
Infusion	LVP	Sigma V6	Mature	JKT	29	Infusion Sub Total	Yes	1
Infusion	LVP	Sigma V6	Mature	JKX	30	Infusion Sub Total	Yes	1
Infusion	LVP	Sigma V6	Mature	JNT	31	Infusion Sub Total	Yes	1
Infusion	LVP	Sigma V6	Mature	JNU	32	Infusion Sub Total	Yes	1
Infusion	LVP	Sigma V6	Mature	JNX	33	Infusion Sub Total	Yes	1
Infusion	LVP	Sigma V8	Grow	JQA	34	Infusion Sub Total	No	1
Infusion	LVP	Space Pump	Mature	JNE	35	Infusion Sub Total	No	1
Infusion	LVP	Space Pump	Mature	JNV	36	Infusion Sub Total	No	1
Infusion	LVP	Space Pump	Mature	JNZ	37	Infusion Sub Total	No	1
Infusion	Syringe Pumps	Medfusion 3500	Mature	JNA	38	Infusion Sub Total	No	1
Infusion	Syringe Pumps	Medfusion 3500	Mature	JYB	39	Infusion Sub Total	No	1
Infusion	Syringe Pumps	Medfusion 3500	Mature	JYD	40	Infusion Sub Total	No	1
Infusion	Syringe Pumps	Medfusion 3500	Mature	JYC	41	Infusion Sub Total	No	1
Infusion	Syringe Pumps	Medfusion 4000	Grow	JYA	42	Infusion Sub Total	No	1
Infusion	Syringe Pumps	Medley Syringe	Mature	EFE	43	Infusion Sub Total	Yes	1
Infusion	Syringe Pumps	Medley Syringe	Mature	FFS	44	Infusion Sub Total	Yes	1
Infusion	Syringe Pumps	Medley Syringe	Mature	FEF	45	Infusion Sub Total	No	1
Infusion	PCA & ETCO2	Cadd Solis	Mature	JND	46	Infusion Sub Total	No	1
Infusion	PCA & ETCO2	Cadd Solis	Mature	JNF	47	Infusion Sub Total	No	1
Infusion	PCA & ETCO2	Cadd Solis	Mature	JNM	48	Infusion Sub Total	No	1
Infusion	PCA & ETCO2	Cadd Solis	Mature	JOJ	49	Infusion Sub Total	No	1
Infusion	PCA & ETCO2	Cadd Solis	Mature	JON	50	Infusion Sub Total	No	1
Infusion	PCA & ETCO2	Cadd Solis	Mature	JOO	51	Infusion Sub Total	No	1
Infusion	PCA & ETCO2	Cadd Solis	Grow	JOP	52	Infusion Sub Total	Yes	1
Infusion	PCA & ETCO2	Cadd Solis	Mature	JOV	53	Infusion Sub Total	No	1
Infusion	PCA & ETCO2	Cadd Solis	Mature	JOU	54	Infusion Sub Total	No	1
Infusion	PCA & ETCO2	Cadd Solis	Mature	JOT	55	Infusion Sub Total	No	1
Infusion	PCA & ETCO2	Medley ETCO2	Mature	EFU	56	Infusion Sub Total	Yes	1
Infusion	PCA & ETCO2	Medley ETCO2	Mature	EUF	57	Infusion Sub Total	No	1
Infusion	PCA & ETCO2	Medley PCA	Mature	EFJ	58	Infusion Sub Total	Yes	1
Infusion	PCA & ETCO2	Medley PCA	Mature	FFA	59	Infusion Sub Total	Yes	1
Infusion	PCA & ETCO2	Medley PCA	Mature	EJF	60	Infusion Sub Total	Yes	1
Other	Other Misc	T-Pumps	Grow	FDL	61	Other Sub Total	Yes	1
Other	Other Misc	T-Pumps	Grow	FDO	62	Other Sub Total	Yes	1
Other	Other Misc	T-Pumps	Grow	FBJ	63	Other Sub Total	Yes	1
Other	SCD	Huntleigh SCD	Grow	FDA	64	Other Sub Total	Yes	1
Other	SCD	Huntleigh SCD	Grow	FDR	65	Other Sub Total	Yes	1
Other	SCD	Huntleigh SCD	Grow	FBI	66	Other Sub Total	Yes	1
Other	SCD	Huntleigh SCD	Grow	ZAP	67	Other Sub Total	Yes	1
Other	Other Misc	Warming/Cooling Units	Grow	MKT	68	Other Sub Total	Yes	1
Other	Other Misc	Warming/Cooling Units	Grow	MKS	69	Other Sub Total	Yes	1
Other	SCD	Huntleigh SCD	Grow	FDQ	70	Other Sub Total	No	1
Other	SCD	Kendall 700 SCD	Grow	FYY	71	Other Sub Total	No	1
Other	SCD	Kendall Express SCD	Mature	FCY	72	Other Sub Total	No	1
Other	SCD	Huntleigh SCD	Grow	FDT	73	Other Sub Total	No	1
Other	SCD	Huntleigh SCD	Grow	FDQ	74	Other Sub Total	No	1
Other	Feeding Pumps	Covidien Joey & E Pump	Grow	FCZ	75	Other Sub Total	Yes	1
Other	Feeding Pumps	Covidien Joey & E Pump	Grow	FDK	76	Other Sub Total	Yes	1
Other	Newborn Care	Cub Crib	Mature	ZRP	77	Other Sub Total	No	1
Other	Newborn Care	Cub Crib	Mature	ZTK	78	Other Sub Total	No	1
Other	Newborn Care	Cub Crib	Mature	YRP	79	Other Sub Total	No	1
Other	Newborn Care	Omni Beds	Mature	ECY	80	Other Sub Total	Yes	1
Other	Newborn Care	Omni Beds	Mature	EDC	81	Other Sub Total	Yes	1
