Class	Prefix	Product	HPR	core
Air 2 Mattress	ZSY	AIR 2 LAL/PULSATE MATTRESS	Yes	1
Arise 1000 Mattress	ZTG	ARISE 1000EX LAL/PULSE MATT W/CARERAIL	Yes	1
Avea Vent	DRX	"AVEA, COMPREHENSIVE,W HELIOX"	No	1
Avea Vent	DTA	"AVEA STANDARD W COMPRESSOR, HELIOX"	No	1
Avea Vent	DTC	"AVEA BASIC W/O COMPRESSOR, W HELIOX"	No	1
Avea Vent	DTS	"AVEA PLUS W/COMPRESSOR, HELIOX"	No	1
Avea Vent	DTW	AVEA STANDARD	No	1
Avea Vent	DVB	AVEA COMPREHENSIVE W/ HELIOX NASAL CPAP	No	1
Avea Vent	DVN	"AVEA COMP, W/VG, NC-IMV"	No	1
Avea Vent	DVY	"AVEA, COMPREHENSIVE,W HELIOX, 4.6 SW"	No	1
Avea Vent	DVZ	"AVEA COMP W/HELIOX, VG, NCPAP-IMV"	No	1
Bari 10A	ZSI	"BARI 10-A BARIATRIC BED,1000LBS"	Yes	1
Bari 10A	ZTO	BARI 10A BARIATRIC BED W/FTBOARD CONTROL	Yes	1
Cadd Solis	JND	CADD SOLIS-2110 YELLOW FACE UPDATED AID	Yes	1
Cadd Solis	JNF	CADD SOLIS - 2110 GRAY FACE	Yes	1
Cadd Solis	JNM	CADD SOLIS - 2110 GRAY FACE	Yes	1
Cadd Solis	JOJ	"CADD SOLIS 2110, GREY FACE - UPDATED AID"	Yes	1
Cadd Solis	JON	CADD SOLIS PUMP MODEL 2110 - YELLOW	Yes	1
Cadd Solis	JOO	CADD SOLIS PUMP - MODEL 2110	Yes	1
Caroll Spirit Beds	THU	SPIRIT HI LO BED - 500LB CAPACITY	Yes	1
Caroll Spirit Beds	TIG	SPIRIT PLUS HI LO BED	Yes	1
Caroll Spirit Beds	TLH	SPIRIT SELECT HI LO BED	Yes	1
Caroll Spirit Beds	TQO	SPIRIT SELECT HI LO BED-REVISED SOFTWARE	Yes	1
Caroll Spirit Beds	TSO	SPIRIT SELECT HI LOW BED W/WATCHDOG	Yes	1
Covidien Joey & E Pump	FCZ	KANGAROO E PUMP ENTERAL FEEDING PUMP	Yes	1
Covidien Joey & E Pump	FDK	KANGAROO JOEY ENTERAL FEEDING PUMP	Yes	1
Dialysis	DMV	NX STAGE SYSTEM ONE	Yes	1
Dialysis	DNB	PRISMA FLEX SYSTEM	Yes	1
Dialysis	DWQ	NX STAGE SYSTEM ONE S W/NXVIEW	Yes	1
Esprit/V200	ACG	ESPRIT W STAND	Yes	1
Esprit/V200	ADF	"ESPRIT W/CLR,GRAPH,RESPMECH,TRND,FLOTRAK"	Yes	1
Esprit/V200	ADP	"ESPRIT W/CLR,GRAPH,RM,TREND,SPEAKMODE"	Yes	1
Esprit/V200	ADQ	V200 VENTILATOR	Yes	1
Evita VN500 & V500	DUY	"EVITA VN500 NEO NIV VV TRND SMRT,NO COMP"	Yes	1
Evita VN500 & V500	DUZ	EVITA INFINITY V500 W/NEONATAL-NO COMPRS	Yes	1
Evita VN500 & V500	DVT	EVITA INFINITY V500 W/ NEONATAL	Yes	1
Evita VN500 & V500	DVU	EVITA VN500 NEO NIV VV ATC TRND SMRTVIEW	Yes	1
Gaymar Hyper/Hypothermia	FMB	MEDITHERM II HYPER/HYPOTHERMIA	Yes	1
Gaymar Hyper/Hypothermia	FMG	MEDI-THERM CIRCULATING FLUID HYPO/HYPER	Yes	1
Harmony Bed	HLB	ONCARE HARMONY HI LO BED	No	1
KCI Rev Share	YPA	ACTIVAC NPWT **REV SHARE**	Yes	1
KCI Rev Share	YPD	INFOVAC THERAPY SYSTEM **REV SHARE**	Yes	1
KCI Rev Share	YPE	ULTA VAC NPWT SYSTEM **REV SHARE**	Yes	1
KCI Rev Share	YPG	FREEDOM VAC THERAPY UNIT **REV SHARE**	Yes	1
Kendall 700 SCD	FYY	KENDALL SCD 700 CONTROLLER	Yes	1
Kendall Express SCD	FCY	KENDALL SCD EXPRESS	No	1
