distid	District	DivisionName	region
10	010 - CORPORATE	CORPORATE DIVISION	CORPORATE
100	100 - TRADE DESK	CORPORATE DIVISION	CORPORATE
101	101 - LUBBOCK, TX	SOUTH CENTRAL	WEST
103	103 - WAIPAHU, HI	CORPORATE DIVISION	CORPORATE
104	104 - BLOOMINGTON, IL	GREAT LAKES	CENTRAL
105	105 - HARRISBURG, PA	NORTHEAST	EAST
106	106 - ALBUQUERQUE, NM	SOUTHWEST	WEST
109	109 - CORPORATE	CORPORATE DIVISION	CORPORATE
11	011 - MINNEAPOLIS, MN	NORTH CENTRAL	CENTRAL
110	110 - CORPORATE	CORPORATE DIVISION	CORPORATE
111	111 - GREEN BAY, WI	NORTH CENTRAL	CENTRAL
112	112 - RICHMOND SERVICE CENTER	SOUTHWEST	WEST
113	113 - AKRON, OH	CORPORATE DIVISION	CORPORATE
114	114 - TOLEDO, OH	GREAT LAKES	CENTRAL
115	115 - DANVERS, MA	SOUTHWEST	WEST
116	116 - WEST ALLIS, WI	CORPORATE DIVISION	CORPORATE
117	117 - MIDLAND, TX	SOUTH CENTRAL	WEST
118	118 - ORLANDO, FL	GULF	EAST
119	119 - SHREVEPORT, LA	SOUTH CENTRAL	WEST
120	120 - SPRINGFIELD, MO	HEARTLAND	CENTRAL
121	121 - SPOKANE, WA	NORTHWEST	WEST
122	122 - JACKSON, MS	GULF	EAST
123	123 - WEST PALM BEACH, FL	GULF	EAST
124	124 - AUSTIN, TX	SOUTH CENTRAL	WEST
125	125 - MCALLEN TX	SOUTH CENTRAL	WEST
126	126 - ROCKFORD, IL	NORTH CENTRAL	CENTRAL
127	127 - ROCHESTER, MN	NORTH CENTRAL	CENTRAL
128	128 - TUPELO, MS	HEARTLAND	CENTRAL
129	129 - EL PASO (129)	SOUTHWEST	WEST
13	013 - COLLECTIONS	CORPORATE DIVISION	CORPORATE
130	130 - DES MOINES, IA	NORTH CENTRAL	CENTRAL
137	137 - ST LOUIS SSM #137	HEARTLAND	CENTRAL
14	014 - DULUTH, MN	NORTH CENTRAL	CENTRAL
148	148 - MH BIOMED 360	MEMORIAL HERMANN	WEST
15	015 - TUCSON, AZ	SOUTHWEST	WEST
16	016 - SAN BERNARDINO, CA	SOUTHWEST	WEST
164	164 - MIAMI, FL	GULF	EAST
17	017 - MULTI-DISTRICT PERSONNEL	CORPORATE DIVISION	CORPORATE
18	018 - LITTLE ROCK, AR	SOUTH CENTRAL	WEST
19	019 - RALEIGH, NC	SOUTHEAST	EAST
2	02 - REVALUATION DISTRICT	CORPORATE DIVISION	CORPORATE
20	020 - TULSA, OK	SOUTH CENTRAL	WEST
200	200 - UHS - TRADE DESK	CORPORATE DIVISION	CORPORATE
201	201 - UHS TRADE DESK FOR COE	CORPORATE DIVISION	CORPORATE
21	021 - OAKLAND, CA	NORTHWEST	WEST
22	022 - NORFOLK, VA	SOUTHEAST	EAST
23	023 - OKLAHOMA CITY, OK	SOUTH CENTRAL	WEST
24	024 - RICHMOND, VA	SOUTHEAST	EAST
25	025 - DENVER, CO	HEARTLAND	CENTRAL
26	026 - WICHITA, KS	HEARTLAND	CENTRAL
27	027 - HENRIETTA, NY	NORTHEAST	EAST
28	028 - TOTOWA, NJ	NORTHEAST	EAST
29	029 - INDIANAPOLIS, IN	GREAT LAKES	CENTRAL
3	03 - 003 - EAST	CORPORATE DIVISION	CORPORATE
30	030 - SAN DIEGO, CA	SOUTHWEST	WEST
300	300 - CORP-SUN VALLEY #300	CORPORATE DIVISION	CORPORATE
301	301 - SS ROCKFORD WAREHOUSE	SOUTHWEST	WEST
302	302 - OAKLAND #302	NORTHWEST	WEST
303	303 - SACRAMENTO #303	NORTHWEST	WEST
304	304 - TULSA #304	SOUTH CENTRAL	WEST
305	305 - MEMPHIS #305	HEARTLAND	CENTRAL
306	306 - SAN ANTONIO #306	SOUTH CENTRAL	WEST
307	307 - EL PASO #307	SOUTHWEST	WEST
308	308 - 308 TUSCON	GULF	EAST
309	309 - DES MOINES, IA	SOUTHEAST	EAST
31	031 - KANSAS CITY, MO	HEARTLAND	CENTRAL
310	310 - ATLANTA #310	SOUTHEAST	EAST
311	311 - SEATTLE #311	NORTHWEST	WEST
312	312 - BIRMINGHAM #312	SOUTHEAST	EAST
313	313 - LUBBOCK #313	SOUTH CENTRAL	WEST
314	314 - BALTIMORE #314	SOUTHEAST	EAST
315	315 - PORTLAND #315	NORTHWEST	WEST
316	316 - BOISE	PACIFIC NORTHWEST	CORPORATE
317	317 - JACKSONVILLE #317	GULF	EAST
318	318 - TAMPA #318	GULF	EAST
319	319 - MOBILE #319	GULF	EAST
32	032 - JACKSONVILLE, FL	GULF	EAST
320	320 - FT LAUDERDALE #320	GULF	EAST
321	321 - ORLANDO #321	GULF	EAST
322	322 - JACKSON #322	GULF	EAST
323	323 - WEST PALM BEACH #323	GULF	EAST
324	324 - SPOKANE #324	NORTHWEST	WEST
325	325 - TOTOWA #325	NORTHEAST	EAST
326	326 - BEND	PACIFIC NORTHWEST	CORPORATE
327	327 - BOSTON #327	NORTHEAST	EAST
328	328 - HARRISBURG #328	NORTHEAST	EAST
329	329 - SHREVEPORT #329	SOUTH CENTRAL	WEST
33	033 - DALLAS, TX	SOUTH CENTRAL	WEST
330	330 - MCALLEN #330	SOUTH CENTRAL	WEST
331	331 - WICHITA #331	HEARTLAND	WEST
332	332 - SPRINGFIELD #332	HEARTLAND	CENTRAL
333	333 - OPEN	GREAT LAKES	EAST
334	334 - MINNEAPOLIS #334	NORTH CENTRAL	CENTRAL
335	335 - INDIANAPOLIS #335	GREAT LAKES	CENTRAL
336	336 - DULUTH #336	NORTH CENTRAL	CENTRAL
337	337 - IOWA CITY #337	NORTH CENTRAL	CENTRAL
338	338 - FARGO #338	NORTH CENTRAL	CENTRAL
339	339 - SIOUX FALLS #339	NORTH CENTRAL	CENTRAL
34	034 - SAN ANTONIO, TX	SOUTH CENTRAL	WEST
340	340 - ROCHESTER #340	NORTH CENTRAL	CENTRAL
341	341 - MARQUETTE #341	NORTH CENTRAL	CENTRAL
